 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000      0.9999999    
  0.1250000      0.9999999    
  0.3750000      0.9999999    
  0.6250000      0.9999999    
  0.8750000      0.9999999    
   1.125000      0.9999999    
   1.375000      0.9999999    
   1.625000      0.9999999    
   1.875000      0.9999999    
   2.125000      0.9999999    
   2.375000      0.9999999    
   2.625000      0.9999999    
   2.875000      0.9999999    
   3.125000      0.9999999    
   3.375000      0.9914539    
   3.625000      0.9665382    
   3.875000      0.9428262    
   4.125000      0.9165863    
   4.375000      0.8980500    
   4.625000      0.8755416    
   4.875000      0.8565238    
   5.125000      0.8388300    
   5.375000      0.8140346    
   5.625000      0.7781656    
   5.875000      0.7252046    
   6.125000      0.6816321    
   6.375000      0.6494944    
   6.625000      0.5890707    
   6.875000      0.5528406    
   7.125000      0.5247954    
   7.375000      0.4419836    
   7.625000      0.0000000E+00
   7.875000      0.0000000E+00
   8.125000      0.0000000E+00
   8.375000      0.0000000E+00
   8.625000      0.0000000E+00
   8.875000      0.0000000E+00
   9.125000      0.0000000E+00
   9.375000      0.0000000E+00
   9.625000      0.0000000E+00
   9.875000      0.0000000E+00
   10.12500      0.0000000E+00
   10.37500      0.0000000E+00
   10.62500      0.0000000E+00
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
